Date : 2026-04-01 21:15:58
Directory : c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP
Total : 109 files,  66547 codes, 7684 comments, 8091 blanks, all 82322 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |        108 |     66,520 |      7,684 |      8,090 |     82,294 |
| JSON     |          1 |         27 |          0 |          1 |         28 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        109 |     66,547 |      7,684 |      8,091 |     82,322 |
| . (Files)                                                                                                                                            |         24 |      7,345 |      4,527 |      1,660 |     13,532 |
| Stage References 1-0                                                                                                                                 |         85 |     59,202 |      3,157 |      6,431 |     68,790 |
| Stage References 1-0 (Files)                                                                                                                         |         23 |     32,724 |      2,029 |      3,569 |     38,322 |
| Stage References 1-0\explorables                                                                                                                     |         22 |      3,870 |        667 |        600 |      5,137 |
| Stage References 1-0\ui                                                                                                                              |         40 |     22,608 |        461 |      2,262 |     25,331 |
| Stage References 1-0\ui (Files)                                                                                                                      |         36 |     22,178 |        444 |      2,194 |     24,816 |
| Stage References 1-0\ui\minigame                                                                                                                     |          4 |        430 |         17 |         68 |        515 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Attack_Waves.lua                                      | Lua      |        246 |         49 |         67 |        362 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Biomes.lua                                            | Lua      |        117 |         42 |         18 |        177 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Components.lua                                        | Lua      |        423 |         97 |         80 |        600 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Converter.lua                                         | Lua      |        252 |         48 |         30 |        330 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_DefinitionTooltip.lua                                 | Lua      |        993 |         44 |        124 |      1,161 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Explorables.lua                                       | Lua      |         57 |         54 |         50 |        161 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Fabricator.lua                                        | Lua      |        267 |         56 |         45 |        368 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Farming.lua                                           | Lua      |        287 |         86 |         78 |        451 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Frames.lua                                            | Lua      |        178 |         40 |         41 |        259 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Instructions.lua                                      | Lua      |        123 |         15 |         18 |        156 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Items.lua                                             | Lua      |        234 |         53 |         30 |        317 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Land_Features.lua                                     | Lua      |        799 |        171 |         64 |      1,034 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Pipes.lua                                             | Lua      |        152 |         25 |         36 |        213 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Scenario.lua                                          | Lua      |        139 |         87 |         63 |        289 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Techs.lua                                             | Lua      |        560 |         95 |         57 |        712 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_UI.lua                                                | Lua      |          6 |          2 |          5 |         13 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_UI_mod.lua                                            | Lua      |        782 |          8 |        100 |        890 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Utilities.lua                                         | Lua      |         55 |         15 |         10 |         80 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_V2_DefinitionTooltip.lua                              | Lua      |        866 |        209 |        117 |      1,192 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Cube_Visuals.lua                                           | Lua      |        116 |         72 |         33 |        221 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\Cube_Farming_OLD_Attempt.lua          | Lua      |        173 |         62 |         27 |        262 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\actions.lua                           | Lua      |        738 |         27 |         85 |        850 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\behaviors.lua                         | Lua      |         12 |         10 |         11 |         33 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\biomes.lua                            | Lua      |        160 |          4 |          4 |        168 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\cliffs.lua                            | Lua      |         30 |          0 |          3 |         33 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\codex.lua                             | Lua      |        994 |        135 |        432 |      1,561 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\components.lua                        | Lua      |      9,536 |        794 |      1,200 |     11,530 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\data.lua                              | Lua      |        488 |         24 |         14 |        526 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\effects.lua                           | Lua      |        429 |         45 |         66 |        540 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables.lua                       | Lua      |        238 |         30 |         37 |        305 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\ai_base.lua               | Lua      |        131 |         17 |         28 |        176 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\alien_a.lua               | Lua      |        395 |         73 |         82 |        550 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\alien_artifact.lua        | Lua      |         21 |          1 |          7 |         29 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\alien_building.lua        | Lua      |         56 |          1 |         10 |         67 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\alien_unit.lua            | Lua      |         13 |          0 |          4 |         17 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\blight_a.lua              | Lua      |        112 |         13 |         22 |        147 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\broken_ship.lua           | Lua      |         42 |          3 |          9 |         54 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\crashed_ship.lua          | Lua      |         36 |          1 |          9 |         46 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\enemy_unit.lua            | Lua      |         38 |          3 |          8 |         49 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\giant_enemy.lua           | Lua      |         18 |          0 |          5 |         23 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_a.lua               | Lua      |        301 |         55 |         58 |        414 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_b.lua               | Lua      |        411 |         65 |         64 |        540 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_building.lua        | Lua      |         84 |         10 |         17 |        111 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_building_blight.lua | Lua      |         27 |          3 |          9 |         39 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\human_c.lua               | Lua      |        517 |         90 |        113 |        720 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\mining_base.lua           | Lua      |        255 |         36 |         45 |        336 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\roaming_bot.lua           | Lua      |         20 |          1 |          6 |         27 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\robot_base.lua            | Lua      |        214 |         28 |         36 |        278 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\ruined_components.lua     | Lua      |        109 |          4 |         21 |        134 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\spawn_base_alien.lua      | Lua      |        432 |        104 |         10 |        546 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\spawn_base_human.lua      | Lua      |        505 |        139 |         10 |        654 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\explorables\world_a.lua               | Lua      |        133 |         20 |         27 |        180 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\frames.lua                            | Lua      |      2,937 |        156 |        227 |      3,320 |
| c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\instructions.lua                      | Lua      |      6,524 |        232 |        640 |      7,396 |
